"cmplnt_apr",""
"110503","北京市,丰台区,木[UNK]园"
"110503","北京,通州,小甸屯,廊坊,北京市,廊坊"
"110503",""
"110503",""
"110503",""
"11010102","北京,西城区,西单北大街110号,老佛爷百货5层"
"11010103",""
"110514",""
"110503","北京"
"110503","北京"
"24010203","北京"
"11010102","北京,内蒙古,赤峰市,翁牛特旗,梧桐花镇,国公府村"
"11010101","京津冀,京津冀,保定,北京,昌平,马池口镇,辛店村,市*路(街),小区,市*路(街)"
"110503",""
"11010101","北京,昌平区,北七家镇"
"110514","阿曼寓所（,丽景杰座）"
"11010105",""
"12010101","东大桥营业厅"
"110504",""
"110503",""
"11040101","北京"
"110503",""
"11010101","亦庄,期办公楼"
"240402",""
"110503","北京"
"110503",""
"2104","合肥,北京,合肥"
"240402","苏宁,西大望路专项合作营业厅（,苏宁）"
"110503",""
"110503",""
"110503",""
"110803","北京,瑞典,斯德哥尔摩"
"11010101","北京,北京"
"11010101",""
"240404","北京"
"11010101",""
"110503",""
"11010206","北京"
"12010607",""
"110503",""
"240402",""
"12010401","门头沟九地块小区2号4单元1602"
"12010301",""
"110503",""
"12010607","石园南区乙6号楼3单元502"
"110514",""
"11010101",""
"12010204","西山国际城,奥运洋桥"
"11010206",""
"110503",""
"110503","北京"
"11010101","北京,北京,大兴区,庞各庄甜园路5号"
"110503","北京"
"110503",""
"110503",""
"110514","北京"
"11010101","北京,丰台区,七里庄地铁站"
"240402","看丹路西,看丹路西"
"12010607","昌平共用号池,北七家海[UNK]落项目一期,tbd云集中心,绿城阳光,于辛庄新村,于辛庄新村,羊各庄新村,羊各庄新村,豆各庄新村,北方明珠,奥运洋桥,天通苑营业厅"
"110504","北京"
"110510","北京"
"11060103","西五环,西四环,西五环,北京西站"
"11010402","北京"
"11020101",""
"110503",""
"110503",""
"110503",""
"110503","北京"
"110503","浙江省,杭州市,滨江区,北京,杭州,杭州"
"110514",""
"11010403",""
"110503",""
"110503","北京"
"12010401","双桥营业厅，,建外soho,b2,50493"
"11010101",""
"11020101",""
"110514","东方雅苑"
"240404","北京,天宫苑生物医药基地龙湖时代广场营业厅"
"11010303",""
"110503",""
"110503",""
"110503",""
"110514",""
"110503","北京"
"240402","马驹桥潼关三区二店合作厅"
"110503","北京"
"110514",""
"11020101",""
"110503","北京,温都水城地下一层"
"11010101",""
"110510","云南省,普洱市,北京市,昌平区,东小口镇,汤立路186号,电信营业厅"
"12020207",""
"110514","北京"
"210101",""
"110514","北京市,通州区,新华东街298号营业厅,新华大街营业厅"
"110503",""
"110514",""
"240402","枫丹壹号-,奥运洋桥,北京市,昌平区,溪城家园东区12号楼2单元\"
"12010607","通州,京嘉创路,杨庄村,奥运洋桥"
"240402",""
"11020102","北京"
"110503","安徽省,安庆市,北京,北京市,通州区,梨园南街,北京"
"110503",""
"110503","北京"
"12010101",""
"130101",""
"110503",""
"11030202","北京"
"12010401",""
"12010607","羊各庄新村四期-,奥运洋桥ngn,小街桥营业厅"
"11010105",""
"12010402",""
"110503","北京"
"110503",""
"12020601","北京"
"110514",""
"110503",""
"220204","北京,昌平区,沙河镇"
"110503","左安门内大街10号"
"110503",""
"110503",""
"110503","复兴路22号院,北京市,海淀区,复兴路22号院"
"110503","朝阳"
"110503",""
"110503",""
"240402","畅捷东方安定门内大街合作厅"
"12010202",""
"110503",""
"240402",""
"11010101","北京,房山区,拱辰街道,艺林北街22号院,世贸维拉小区"
"240402",""
"110503",""
"110503",""
"11010103",""
"11010101",""
"240402",""
"110514","北京,北京市,昌平区\,景兴街25号院1号,中铁建青秀尚城\,尚城汇1号楼\a座\\"
"110503",""
"110503",""
"240404",""
"110503","财满街嘉园营业厅"
"240402","双桥营业厅"
"110503","北京"
"16050103","北京市"
"110503","北京"
"11060201","西单营业厅"
"110514","时尚街区二期-,奥运洋桥"
"11010101","北京,北京市,丰台区,石榴庄,慧石新园小区"
"11020101",""
"11010101",""
"11020101",""
"11010101",""
"240401","北京,朝阳区,朝外大街12号合作营业厅"
"12010101","北京市,房山区,窦店镇,田园新村二区7号楼4单元401"
"12010301",""
"110503",""
"110503",""
"11010101","北京,北京市,通州区,张家湾镇,三间房村"
"110514","北京市,西城区,西单北大街107号"
"110514",""
"110514","北京,朝阳区,富力城营业厅"
"12010401","06825,ims公共号池,北太,东区"
"110504","北京"
"240402",""
"110514",""
"110503",""
"12010601",""
"16050103","北京市"
"11010402","北京"
"240402",""
"110503","北京"
"130204",""
"12010202","北京,北京市,昌平区,东小口镇,立汤路181号院,卢卡新天地6号楼2单元"
"110514","奥运洋桥"
"110503",""
"110503",""
"110503","万寿路地铁站"
"110503",""
"12010701",""
"11010109",""
"110503",""
"110801","北京,中国,香港,九龙"
"240403","北京,双桥电信营业厅"
"110503","北京"
"110514",""
"110503","新世纪硅谷蓝岛大厦合作厅"
"1801010102","北京"
"11010101","北京,北京市,顺义区,林河大街32号"
"12010607","杨庄北街19号楼"
"110503","大兴,黄鹅路路北专区"
"130101","昌平,龙山华府小区,昌平,鼓楼北街营业厅"
"2104",""
"240404","城关"
"11020101",""
"12010601","北京,家乐福"
"1802080103","北京"
"110503",""
"240402","回龙观上北鑫座合作厅"
"110503","北京市,大兴区,庞各庄镇,东梨园村"
"110503",""
"110503",""
"110503",""
"110503","北京市,丰台区,百强大道10号,天龙华鹤b座1217"
"12010607","中鑫嘉园二期,61081,队住宅小区,都景苑,八家嘉苑小区,奥运洋桥"
"110503",""
"2104","北京"
"240402",""
"12010401","金泽家园,奥运洋桥"
"110504","北京"
"11010402","北京"
"11020101",""
"110514","北京"
"110514","北京市,朝阳区,东军庄小区"
"110503",""
"110504","北京"
"240402","鼓楼北街营业厅,鼓楼北街营业厅"
"110514","北京市,海淀区,上地三街嘉华大厦b座一层,上地西路营业厅,海南"
"110514","太平庄"
"1801020401",""
"110514","北京"
"2104",""
"1802010102",""
"110503",""
"110514","复兴路33号,翠微大厦迪奥专卖店"
"12010202","北京,北京市,延庆区,康庄镇,康庄家园三区5号,康庄家园三区5号楼1单元"
"110503",""
"110503","北京"
"110503",""
"110503",""
"110503","海淀区,清河迪信通手机店"
"110503",""
"110503",""
"110503","河北省,廊坊市,三河,燕郊开发区"
"110503",""
"110503","北京市,门头沟区,妙峰山镇,上苇甸村239号"
"110503",""
"110503","昌平县,昌平县,昌平县"
"110503",""
"110503","北京市立水桥明珠专项厅合作营业厅"
"110503","辽宁省,调兵山市,北京,北京"
"110514","首开馨城（c02号,3297379,北京"
"110514","北京,北京市,海淀区\,玉泉路6号院,玉阜嘉园玉阜嘉园3号楼3单元\"
"110514",""
"12010204",""
"18010402","浙江"
"11010102","北京,朝阳区,来广营北路158号"
"12010205","北京,朝阳区,酒仙桥路,恒通商务园"
"11010105",""
"11010105",""
"12010601","帅府园二期-,奥运洋桥"
"11010101","北京,昌平区,领秀慧谷3区6号楼105"
"110514",""
"110503",""
"1802080205",""
"110503","北京,北京,北京营业厅,天津,北京"
"11020101",""
"110514",""
"110503","鼓楼北街营业厅"
"130201",""
"11010402","北京"
"110503",""
"11010101","朝阳区,高碑店一区"
"110503","迪信通亚运村店专项厅"
"110503",""
"110503",""
"11010107","北京,北京"
"110503",""
"110514","北京,北京"
"12010202",""
"110503","中国电信股份有限公司北京客服营业厅"
"110514","北京"
"24010202","网小区,嘉华益民,康泉小区,广华新城,东亚印象,台湖,东亚尚品,台湖,奥运洋桥"
"110503","大兴广茂大街合作厅"
"11010102","北京"
"12010201","福润四季小区-,奥运洋桥,5"
"240404","北京,中关村大街营业厅"
"110105","北京"
"110514",""
"110514","方家村营业厅"
"11040201",""
"110503",""
"110503",""
"110514","北京"
"110503",""
"12010601","北京"
"110514","朝阳区,五方桥,朝阳区,五方桥,京津冀,唐山,北京,朝阳区,五方桥"
"110514","北京,金世科诺防化指挥学院校园店,金世科诺防化指挥学院校园店"
"11020101",""
"12010204","御园,奥运洋桥,北京市,大兴区,黄村镇,清泰路2号院,御园,清泰路2号院13号楼2单元,北京市,大兴区,黄村镇,清泰路1号院首座御园/,清泰路1号院10号楼"
"130201",""
"110405","北京"
"110503",""
"240402","星球通,马驹桥商业街合作厅"
"24020202",""
"240402",""
"11010102","北京,79,大兴区"
"110514","京津冀,京津冀,张家口,北京,丰台,大兴,市*路(街)*小区,市*路(街)"
"12010602","上地北"
"110514","建外soho,通州"
"2302","贵阳市,贵阳市,迎宾西路,广汽丰田通源金阳店"
"2302","北京市,昌平区,昌平区,北桥,乐多港奥特莱斯购物中心停车场,乐多港奥特莱斯购物中心,esquirescoffee,雪水"
"2302","佛山市,佛山市,科源一路,祥锋玛吉斯轮胎店,广汽佛山禅城展厅,欧文涂料华南服务中心"
"110514",""
"11010203","北京"
"110514","北京"
"110514",""
"110504",""
"110503","北京"
"240402",""
"24010201","北京"
"240602","崇文门专区"
"110503","吉富通达天通苑,白坊路合作厅"
"110514",""
"12020601","北京,北京市,顺义区,锦悦嘉苑2号楼3单元601,石园营业厅"
"11010102","北京,北京市,通州区,新华东街人民商场"
"110801","北京"
"110514","北京,77"
"11010101","北京"
"240402","亦庄天宝园合作营业厅"
"1802080203",""
"12010202","瀛海永旭嘉园,奥运洋桥"
"110503","北京"
"11010207","北京,甘肃"
"240601","通州区,云景东路,园景西区181号"
"110503",""
"110514","上地西路营业厅"
"110503","北京"
"12010202",""
"110503","北京"
"110514","北京"
"110503",""
"110514","世纪二千,嘉华大厦,奥运洋桥"
"110504",""
"110503","北京,北京,北京"
"240402",""
"2304",""
"110503","北京"
"110503","北京,丰台区,大瓦窑陆建南门营业厅"
"11010207",""
"11010101",""
"110504",""
"18010205","北京"
"11010101",""
"1802030106",""
"110514","北京"
"240401",""
"110514","龙湖营业厅,龙湖营业厅"
"110514","北太,朝阳北路营业厅,朝阳区,朝阳北路102号楼115-116"
"11020101",""
"110503","北京"
"110514",""
"11010101","河北,山东"
"110514",""
"240402","苏宁"
"110503",""
"17020202",""
"12010401",""
"110503",""
"240402","大郊亭营业厅,大郊亭营业厅,大郊亭营业厅"
"110514","朝阳区,马桥路50号"
"12010206","米拉小镇,奥运,洋桥ngn"
"110503","北京"
"240402","东沙各庄集贸市场合作厅"
"240402","华信通良乡拱辰大厦合作厅"
"240404",""
"110503","浙江,杭州,北京,杭州"
"110503",""
"110514","北京"
"12010402","富力华庭苑,奥运洋桥,大兴区,庞各庄"
"12010401","三元桥营业厅,移动渠道拓展中心（,东区）"
"12010601",""
"12010601","ims公共号池,北太b24162,卡法国际东区10号楼4单元102,顺义区,鼎顺嘉园东区10号楼4单元102"
"11010101","河北,天津,山东"
"110503","北京"
"110503","北京,机店"
"110503",""
"110503",""
"110503",""
"110503",""
"1102010601","廊坊市,北京市,丰台区,市*路,市*路,市*县"
"110508",""
"11010105",""
"11010102","昌平区,白庙东街171号"
"110503","顺义区,石园南区33号楼1-103"
"11010107","北京,丰台区,王佐镇,小店村,千灵山,北京,北京,天津,北京,天津,北京"
"11010101","北京,北京市,丰台区,南四环西路128号,诺德中心3号楼"
"11010101",""
"12020103",""
"110514",""
"110514",""
"110503","北京市,朝阳区,酒仙桥路39号,久隆百货一楼,电信营业厅"
"110514","北京,西直门"
"110503","北京,北京,西单营业厅"
"11010205","北京"
"11010101","北京,北京市,昌平区"
"11010403","北京市,海淀五塔寺专区,牟泉,海淀五塔寺专区"
"110514",""
"11010101","北京"
"11010203","北京,海淀区,永定路乙1号院14号楼首层14-6-105营业厅"
"11030203",""
"11010101",""
"110503",""
"110503",""
"110503",""
"110503","北京市,昌平区,沙河镇,巩华大街28号,鑫之星购物中心"
"110503",""
"110503",""
"110503",""
"11010203",""
"12010601","御园,奥运洋桥"
"110503",""
"12010402","清缘小区,奥运洋桥"
"11010206","北京市,朝阳区,启阳路,望京东园大望京2号,昆泰嘉瑞中心,寓楼"
"240402","天通苑合作营业厅,亿派创新）"
"240402","酒仙桥七街坊合作厅"
"12010105","富力华庭苑,奥运洋桥"
"110503",""
"110503","北京"
"11010101","中国"
"11010206","北京"
"11010102","平谷区,金海湖镇,靠山街"
"110514",""
"240402",""
"110514","网厅商城营业厅"
"12010201","雪芳园-,奥运洋桥ngn,西单营业厅"
"240402","中关村大街营业厅营业厅,海淀区,北四环西路51-1,中关村营业厅"
"110503",""
"12010607","北太"
"12010202","常营营业厅"
"110503",""
"110503",""
"110503","北京"
"110514",""
"110503","百荣世贸二期b1层"
"110503",""
"110503",""
"110503",""
"110503",""
"110504",""
"240404",""
"110503","北京市,大兴区,西红门镇荟聚购物中心三层"
"110503",""
"110503",""
"11010109",""
"110503",""
"240402",""
"110514",""
"110503","星球通新世界百货彩旋店合作厅"
"11010102","北京市,朝阳区,定福庄北街,北京地铁6号线14号线"
"11010105",""
"11030101","北京,海淀区,遗光寺8号院,韩家川村"
"24010203","北京"
"110503",""
"130503","北京市,平谷区,马坊镇,新华联悦谷新华联悦谷6号楼\"
"110503","07"
"110503","公主坟营业厅"
"110503","北京,北京"
"110503",""
"110503","云南,昆明,京东商城,北京,云南,北京,天津"
"110503","北京市,朝阳区,王四营乡,观音堂村,大郊亭营业厅"
"110503",""
"110503",""
"110503",""
"110503",""
"110503","大兴,北京市,大兴区"
"240402",""
"110503","北京"
"110514",""
"110510",""
"12010206","苏家坨住宅小区二期-,奥运洋桥,3"
"11010105",""
"110503","中国,中国"
"110503",""
"110503","北京,江苏,常州,常州,北京,五道口电信营业厅,北京,北京"
"110503",""
"110503",""
"110503","北京,北京,北京"
"110503",""
"110503",""
"110503",""
"110503","北京,福州,北京市,北京,北京,北京,北京,北京"
"110503","中国"
"110514",""
"110514",""
"110503","北京市,惠新西街,天鹤家园,电信营业厅,7,4.,81"
"110514","星球通次渠南里东合作厅）"
"11010206","北京市,朝阳区,启阳路,望京东园大望京2号,昆泰嘉瑞中心,寓楼"
"11020101",""
"12010607","华威北里小区23-6-603,52"
"110514",""
"12040103","北京,北京"
"110503",""
"110503","迪信通营业厅"
"110503",""
"110503","北京"
"110503",""
"110503",""
"110503",""
"110503",""
"110503",""
"12010607","平乐园营业厅,平乐园营业厅"
"240402",""
"11010203",""
"12030601","西单"
"11030101","西安市,碑林区,长安北路261号a座三楼"
"110514","永顺,奥运洋桥ngn,新华大街营业厅"
"110514",""
"110503","岳各庄营业厅,岳各庄"
"110503","天津市,家乐福,海光寺店"
"110503",""
"110503",""
"110503",""
"110503",""
"110503",""
"110503","北京市,朝阳区,王四营乡,观音堂村"
"110503",""
"110503","中国电信牡丹园营业厅"
"110503","北京市,阜成门外大街1号,四川大厦"
"110503",""
"110503",""
"110503","北京,昌平"
"130207",""
"240404","北京,朝阳门营业厅"
"1802010104",""
"12020102","北京,田村营业厅"
"240404","新华大街营业厅"
"12010401","苹果社区,富力城营业厅"
"12010403","北京市,珠江帝景c区506号楼1"
"11020101","大兴区,桑马房"
"110503",""
"110503",""
"12020401",""
"110514","北京市,朝阳区,豆各庄黄厂路甲3号,双龙,北京市,朝阳区,豆各庄黄厂路甲3号,双龙,唐山,北京市,朝阳区,豆各庄黄厂路甲3号,双龙"
"11010206",""
"110514",""
"11020101",""
"110503","北京市"
"110503",""
"110503","北京市,东城区,百荣世贸商城二期,下一层"
"110503",""
"110503",""
"110503","大兴区,旧宫镇,富力盛悦居17号楼"
"110503","北京,北京"
"110503",""
"110503",""
"110503",""
"12020205",""
"110514","北京"
"240402",""
"11010303",""
"110503","北京,北京,大兴区,西虹门"
"110503","北京,东直门,北京,东直门,刘*231005*"
"1801020301","北京"
"110514","北京,西单营业厅"
"24010202","北京"
"240402","杏石口营业厅,海淀区,杏石口路99号3幢103"
"110514","富力华庭苑-,奥运洋桥b23117048"
"12010601",""
"110503",""
"12010103","河北,北京"
"110514",""
"11010206","北京"
"12010401",""
"12010206",""
"110514","北京市,北京市,海淀区"
"11010206",""
"110504",""
"110503",""
"110503",""
"110503",""
"110503","北京市,海淀区,北京市"
"110503",""
"110503",""
"110503","左安门内大街10号"
"110503",""
"110503",""
"110503",""
"110503","北京电信wap商城"
"110514",""
"12010101","4205712"
"240403","总装备部6号楼-,奥运洋桥ngn，b24221485,怡科世纪南七家庄合作厅"
"2104",""
"110514","北京"
"12010601","江西,萍乡,北京,北京市,九棵树,通洲中路1号"
"11010101",""
"240402","金宝坊乐家购物中心"
"110514","水仙园"
"11010101",""
"12010401","北京,昌平区,沙河镇,于辛庄,于辛家园8号楼3单元604号"
"2104","北京"
"110514","奥运洋桥"
"12010404","尚西泊图屋"
"110503","beijing"
"110503",""
"11010101",""
"12010401",""
"11010101","北京,北京"
"110514","平谷区,金海湖镇,靠山街"
"240404","北京,公主坟城乡合作营业厅"
"110514","水星园"
"110503","北京"
"110503","北京"
"1802080202",""
"11010101","天津"
"12010102",""
"240402","大中中塔专项厅"
"110503",""
"12010404","北京市"
"110514","宏福校区校园店"
"110514",""
"130303","密云果园,西里甲区"
"11020502",""
"110503","北京"
"11020101","北京,海淀区,香山"
"110514","北京"
"11010102","北京,昌平区农学院北路9号院四区"
"110503","郑州,北京市,大兴黄村,郑州,接和"
"11030102","北京,朝阳区,金盏乡,东窑村93号"
"11060105","北京"
"11010101",""
"110503","北京,东直门,北京,东直门,刘*231005****"
"210101",""
"240402",""
"110503","顺义区首都机场物流园"
"2104",""
"110503",""
"110514","烛光小区"
"11010103","北京"
"210201","北京市,丰台区,百强大道10号,天龙华鹤b座1217"
"110503","中国电信营业厅"
"110503","北京"
"110503","北京"
"110503",""
"12010401","方庄东里小区；,b24223730；,91270639,网厅商城营业厅"
"11010102","北京,北京市,通州区,九棵树地铁,梨园地铁,张家湾"
"110503","苏宁"
"12010601","地北"
"11020101",""
"19","北京"
"11010105",""
"110514",""
"12010401",""
"11010102","北三环,安贞西里三区26号,浙江大厦"
"110514","北京"
"110514",""
"110514","北京,西区"
"110514","北京"
"210101",""
"110503",""
"11010101",""
"11010206",""
"110503",""
"240402",""
"11010101",""
"110514","开源易通（上地北),中关村环保园c02公租房,奥运洋桥ngn"
"11010105",""
"110514","北京,辽宁,大连市"
"110514","万科朗润园-,奥运洋桥"
"12010206",""
"110503","东方物资学院路合作厅"
"12010101","房山区,良乡昊天温泉家园1号楼2单元502号"
"12010602","上地北,昌平,鼓楼北街营业厅"
"110503","北京"
"110503",""
"110514",""
"11040101",""
"11020101",""
"240402","马驹桥潼关三区二店合作厅"
"110504",""
"12010401","北京"
"110503",""
"110503","云南,曲靖,北京"
"16050201","东区"
"12010401","北京,北京市,昌平区\,溪城家园东区12号楼1单元\"
"110503","北京"
"110503","北京,云南,昆明"
"240404","广渠门内大街合作厅"
"110503","北京"
"110504","北京"
"1102010601","北京,吉林,白城,洮南市,永茂林场"
"110514","万泉寺住宅小区,奥运洋桥ngn,55972"
"11010203","北京,北京市,昌平区,天通苑,太平庄东一路"
"240401","海淀区"
"11010101","北京,丰台区,南三环,万柳桥宝龙大厦15层,8"
"11010103","北京"
"110503",""
"11010101",""
"110503",""
"11020502","北京"
"110504","北京"
"110514","北京"
"11020101",""
"19","北京,羊坊街道城乡购物中心"
"110503","中国电信股份有限公司北京客服营业厅"
"110503","北京"
"16050201",""
"110503","北京"
"110503","北京"
"240402","马驹桥潼关三区二店,马驹桥潼关三区"
"11010101",""
"12010401","奥运洋桥,天翼卖场"
"110503",""
"110503",""
"12010401","中鑫嘉园二期,61081部队住宅小区,都景苑,八家嘉苑小区,奥运洋桥,慧智程前,北区"
"110514","北京,北京"
"110514",""
"110514",""
"12010401","北京,北京市,丰台区\,马家堡东路108号,远洋自然1号楼3单元\"
"240402",""
"110503",""
"110503","北京,大兴"
"110503","昌平区"
"110405",""
"12010402","奥运洋桥"
"110503",""
"110503",""
"110503",""
"110503",""
"110503",""
"110503","北京"
"12010206",""
"110510",""
"110514",""
"24010202",""
"11010101","丰台区,王佐乡,贺照云"
"110514",""
"12010401","海淀区,溪山嘉园18号楼3单元,北京市,海淀区,溪山嘉园东府里18号楼3"
"17020103",""
"110503","昌平白庙中心街合作厅"
"110503","北京"
"12010402","胜古家园,金星园,uhn国际村,季景沁园,水星园,东湖湾西区,奥运洋桥"
"12010103","保利,奥运,洋桥"
"110503","昌平,百泉庄村东合作厅"
"24020102","昌平共用号池,北七家海[UNK]落项目一期,tbd云集中心,绿城阳光,于辛庄新村,于辛庄新村,羊各庄新村二期,羊各庄新村四期,豆各庄新村,北方明珠,奥运洋桥,北七家营业厅"
"110504",""
"12010301","im,上地北"
"110514",""
"110514",""
"11010101","上海市,徐汇区,宜山路408弄,南宜花苑,上海市,徐汇区,宜山路408弄,南宜花苑"
"110514","北京新天地"
"240402","汇旭通达良乡,月华南大街合作厅,汇旭通达良乡"
"1801020301","北京"
"110503","古城营业厅,古城营业厅"
"12010401","上地北"
"110514",""
"2104","北京,河北省,邢台市,北京,北京"
"12020105","北京,昌平区,北七家镇,海青落新村3号楼二单元201"
"11020103","北京,海淀区,遗光寺8号院,韩家川村"
"110503",""
"12010401","西单"
"11020101",""
"110514","阿曼寓所（,丽景杰座）"
"12010402","丰台区,新鸿家园a区1号楼3单元302"
"110503",""
"11020101",""
"110503",""
"12010401",""
"12010402","北京,北京市,昌平区,溪城家园西区1号楼4单元\"
"110503","星球通西三旗上奥世纪合作厅"
"110503",""
"110503","北京"
"240402",""
"11010206",""
"110514","北京"
"110503",""
"110507",""
"110514","南区,磨房北里社区店"
"11010402","北京"
"110503",""
"210101",""
"12010607","三友公寓,天通苑（,th）,奥运洋桥"
"11010105",""
"240404","s公共号池,北太b24211218"
"11010205","北京"
"110503","东城,崇外大街合作厅"
"12010402",""
"240402",""
"110514","御园,奥运洋桥,黄村营业厅"
"110503","海淀五孔桥专区"
"240301",""
"16040101","长安新城"
"11020101",""
"2104",""
"12010103","奥运洋桥"
"2104","北京"
"12010601",""
"110503",""
"110503",""
"110503",""
"110510","北京"
"110503","丰台区,王佐镇,庄户村,笑谦超市"
"110514","北京,北京市,大兴区,亦庄镇,博兴十路\,金域东郡小区5号楼2单元"
"12010302","上地北"
"110503","北京,甘肃"
"12010607",""
"110503","经济技术开发区营业厅"
"11010101",""
"240402","纪家庙路北口合作厅"
"11010101","北京,北京市,昌平区"
"110503",""
"110503",""
"11010101",""
"110508",""
"11020104","北京,昌平区,宏福大厦"
"16050103","北京市"
"12010304","苏家坨,奥运洋桥,海淀,永泰庄中街合作厅"
"12010102","通州木材市场,奥运洋桥ngn,东坝营业厅"
"130208","风美仑-,奥运洋桥,酒仙桥营业厅"
"110503","回龙观营业厅"
"110514","北京"
"12010601","望京中心商业,北京,北京"
"110514","昌平区,清河路,溪城家园2号院12号楼1103"
"110505","云南省,普洱市,北京市,西城区,西单北大街107号,电信营业厅"
"110503","北京市"
"110514",""
"110502",""
"110503","北京"
"11010102","衡水,桃城区,顺兴街,隆兴路,恒大城小区"
"11010105","北京市,西城区,中国人寿广场"
"110503","北京,北京"
"110514","北京市"
"240404","中国铁建广场,金隅悦和园,奥运洋桥"
"12040103",""
"11010203",""
"12010101","ims,建外soho"
"110514","苹果社区"
"110514",""
"12010401","观河锦园"
"110503",""
"130201",""
"110514","北京市,朝阳区,芍药居,北京市,朝阳区,芍药居,北京市"
"110503","北京"
"130201",""
"130502","奥运洋桥,北京,北京市,朝阳区\,黄厂南里2号院21,富力又一城\b区b区8号楼1单元,北京,北京市,朝阳区\,黄厂南里2号院,富力又一城\b区b区18号楼2单元\"
"11010205","北京"
"11010101","北京,大兴区,魏善庄,西枣林村东巷2号"
"11060101","北京"
"11010201",""
"110514","金泽家园,奥运洋桥ngn,im"
"11010101",""
"110503",""
"11020101","北京,河北省,石家庄市,正定县,东关村"
"11020101",""
"110514","新景家园8号楼"
"11010402","北京"
"11010102","北京,河北省"
"11010101","北京,朝阳区,水岸庄园"
"110503","北京"
"110503",""
"110514","奥运洋桥"
"240402","密云县营业厅营业厅"
"110503","北京"
"12010402","奥运洋桥"
"110514","朝阳区,北京,北京市,顺义区,天竺镇,京沈路,天北路,水木兰亭花园6号楼3单元"
"11020103","石家庄,北京,昌平区"
"12040106","福州,北京,永辉,北京,朝阳区,百子湾店,北京市,朝阳区,百子湾路,大成国际中心,永辉,北京,大兴区,旧宫万科店,北京市,大兴区,旧宫东路,旧宫北路"
"11010101","通州区,鹿城镇,化子店,李[UNK]村,河北"
"110503",""
"110503","北京"
"16050103","北京市"
"240402",""
"110503","通州区,马驹桥"
"12010401","信元二站"
"240402","新世纪硅谷王府井百货大楼合作厅,北京,新世纪"
"110514","丰台区,芳群园3区15号楼0904"
"110503","丽江,北京市,朝阳区,劲松"
"16050103","北京市"
"11010101","北京,北京市,通州区,新华东街人民商场"
"130608",""
"11020103","北京"
"12020607","晋元庄,58495,3660"
"110503","天通苑,白坊路合作厅"
"110514","北京"
"11010101","亦庄,期办公楼"
"110503","北京市,清河电信营业厅,昌平龙冠冠华苑小区"
"110503",""
"240404","公主坟营业厅,公主坟营业厅"
"110503","北京"
"110503","苏阳,佳仁,海淀,中关村大街,鼎好专区"
"240402","十八里店,横街子合作厅"
"12010607","金泽家园,奥运洋桥,北京市,朝阳区,金泽家园a区5号楼2单元404室"
"11020101",""
"11010102","北京,北京市,朝阳区,水岸庄园"
"11030201",""
"12010202",""
"110503","网厅商城营业厅,北京"
"12010402","im,北京"
"11010102","通州区,北苑达复雅园小区5号楼1单元11室"
"110503",""
"110514","北京,北京市,石景山区"
"110510",""
"110503","北京"
"110503",""
"11010101",""
"110514","他网小区,嘉华益民,康泉小区,广华新城,东亚印象,台湖,东亚尚品,台湖,奥运洋桥,北京"
"11010105",""
"110503","北京"
"110514","辽宁省,大连市,北京,北京市,怀柔区,雁栖湖校区"
"110514",""
"110503",""
"110510",""
"240402",""
"110503","东城区"
"110514","吉林,桦甸市,八道河子镇"
"110503",""
"130602",""
"130602",""
"110503","莲花桥营业厅"
"240402",""
"110514","通州,奥运洋桥"
"11010109","泰安市,徕山,家菜,徕山抗日武装起义纪念碑(,泰安),泰安市,山西头,徕山又一村度假山庄,泰@~@~安),泰安市,望园(,泰安)"
"11010109","海东市,民和回族土族自治县,民和回族土族自治县,民和东１号桥,民和东1号桥,海东市,民和回族土族自治县,民和回族土族自治县,川垣五路,东垣村,大庄,谷丰渠,东垣"
"11040101",""
"12010401","丰台右安路合作厅"
"11010101",""
"110503","北京"
"11020103","北京,北京市,东城区,光明路甲一号"
"11020101","北京,北京市,大兴区,西红门"
"110503","昌平白庙中心街合作厅"
"240402","四维通联天通西苑三区合作厅"
"11020101",""
"12010402","金世科诺),欣艺景园,玉桥东小区,新城嘉园,华业东方玫瑰a、b,d区,奥运洋桥ngn"
"110504",""
"130602",""
"12010401",""
"24020102",""
"12010401",""
"110503","四通桥营业厅"
"240402","朝阳横街子六店合作厅"
"11010102","北京,北京市,昌平区农学院北路9号院4区"
"11010105",""
"110514","北京,北京市,通州区\,物资学院路3号,物资学院路3号院,新建村25号楼5单元532,号楼,号楼,连心园小区"
"110503",""
"110503",""
"110503","北京市,朝阳区,定福庄北街"
"110503",""
"240404","朝阳北路营业厅,朝阳门营业厅"
"110514",""
"240601","地北,昌平南环东路合作厅"
"12010402","上地北"
"110503","昌平南七家后街专区"
"12010402","他网小区,三友公寓,天通苑（ftth）,奥运洋桥"
"11010207",""
"12010607","巩华城,奥运洋桥,四通桥营业厅"
"110503",""
"12010303","北京,北京市,通州区,台湖镇,东亚印象,台湖41号楼2单元\,台湖营业厅,99"
"110503",""
"11010203",""
"11010206",""
"240402","畅捷东方育新街合作厅"
"200103","北京"
"12010601",""
"110503","朝阳,东坝,东泽园合作厅"
"110503",""
"12010607","青秀尚城,奥运洋桥,北京"
"110514",""
"11010102","北京市,东城区,金鱼池中街，11-36号,沙县,北京市,东城区,金鱼池中街,11-36号,沙县,北京市,东城区,金鱼池中街11-36号旁,沙县小吃店"
"1802080203",""
"110503","河南村东大街合作厅"
